,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
41,Bradley Keoun,The Protocol: Meme Coins (and Pepe's Best Friend) Swarm Coinbase Layer 2 Chain,"The meme coin frenzy that drove up activity – and failed transactions – on Solana appears to have quickly migrated to Base, Coinbase's six-month-old layer-2 blockchain. Who is the blue-faced creature behind the $BRETT token?",https://www.coindesk.com/tech/2024/03/27/the-protocol-meme-coins-and-pepes-best-friend-swarm-coinbase-layer-2-chain/,https://www.coindesk.com/resizer/OdmMt74qXZkuuuqYBZLQLzb7CzA=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/STJX6PNP4BDCDFIWZQOUQ3AMGY.jpg,2024-03-27T19:22:43Z,"What's a blue toad got to do with blockchain, if it even is a blue toad? The short answer is meme coin trading on Coinbase's layer-2 blockchain, Base. Read on.
Also in this week's The Protocol:
<ul… [+14151 chars]",,CoinDesk
42,"Radhika Parashar, Siddharth Suvarna","Bitcoin-Backed Velar to Launch Native Token Via ByBit, Lauds India for Quick Tech Adoption","Velar is launching its native token by the same name into the trading arena through ByBit. In the upcoming days, Velar also plans to bring a Bitcoin native trading platform that would let users trade in 20 times more than their capital holding and hope for bi…",https://www.gadgets360.com/cryptocurrency/news/velar-bitcoin-blockchain-launch-native-token-bybit-india-quick-tech-adoption-5327692,https://i.gadgets360cdn.com/large/large_2_1711627413821.jpg,2024-03-28T12:04:22Z,"Velar, a Bitcoin-powered liquidity protocol, has announced the launch of its native token that also goes by the same name. The token is being launched into the trading arena through ByBit, touted as … [+2749 chars]",,Gadgets360.com
43,BobWP,Do The Woo Community: End of the Year Emerging Tech with Kathy Zant and Dave Lockie,"In this episode, Kathy and Dave discuss the influence of AI and blockchain on content creation, the rise of businesses using OpenAI API, and the potential of using blockchain for content authentication. They also explore the options for WordPress content and …",https://dothewoo.io/end-of-the-year-emerging-tech-with-kathy-zant-and-dave-lockie/,https://i0.wp.com/dothewoo.io/wp-content/uploads/2023/09/Do-the-Woo-Podcast-All-Things-WordPress-WooCommerce-Emerging-Tech-Episode-429.jpeg?fit=1200%2C1200&ssl=1,2024-03-28T14:15:31Z,"December 13, 2023
Thanks to Our Pod Friends
There is also talk about the rise of businesses building on the OpenAI API and exploring the intersection of AI and crypto, noting that as AI threatens c… [+21998 chars]",,Dothewoo.io
44,coindesk.com,ARK 21Shares Bitcoin ETF Hits $200M Daily Inflows for First Time,"Learn more about Consensus 2024, CoinDesk's longest-running and most influential event that brings together all sides of crypto, blockchain and Web3 . Head to consensus.coindesk.com to register and buy your pass now .#coindesk",https://biztoc.com/x/02bc487d9336b6f3,https://c.biztoc.com/p/02bc487d9336b6f3/og.webp,2024-03-28T14:30:11Z,"Learn more about Consensus 2024, CoinDesk's longest-running and most influential event that brings together all sides of crypto, blockchain and Web3 . Head to consensus.coindesk.com to register and b… [+68 chars]",,Biztoc.com
45,"Sandy Carter, Contributor, 
 Sandy Carter, Contributor
 https://www.forbes.com/sites/sandycarter/","5 New Advancements In AI And Web3 -Meme Coins, Base, Bitcoin Halving","Five key developments demand our attention: Base’s emergence as a powerhouse Layer-2 solution, the economically significant rise of memecoins, the strategic importance...",https://www.forbes.com/sites/digital-assets/2024/03/28/5-new-advancements-in-ai-and-web3-meme-coins-base-bitcoin-halving/,https://imageio.forbes.com/specials-images/imageserve/6605a18c9f4dbfe5587f0b07/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-03-28T17:17:22Z,"A sticker advertising Dogecoin on a cryptocurrency automated teller machine (ATM) at a laundromat in ... [+] Hong Kong, China, on Thursday, June 9, 2022. Tesla Inc. Chief Executive Elon Musk expresse… [+13800 chars]",,Forbes
46,Marvie Basilan,Liquid Staking Protocol Prisma Finance Exploited For $11.6 Million,"Prisma Finance has been exploited for $11.6 million, blockchain security firms revealed Thursday. The protocol confirmed the exploit but has yet to provide further details about the smart contract hack.",https://www.ibtimes.com/liquid-staking-protocol-prisma-finance-exploited-116-million-3728409,https://d.ibtimes.com/en/full/4500602/computer-hacker.png,2024-03-29T05:16:56Z,"KEY POINTS
<ul><li>PeckShield and Cyvers detected the exploit then tagged Prisma on X</li><li>Prisma's engineering contributors have since paused the protocol and an investigation is underway</li><l… [+3373 chars]",,International Business Times
47,Paolo Tasca,The Struggle for Currency Supremacy,"The question of whether the US dollar will be dethroned by a cryptocurrency, a stablecoin, or some other digital asset or payments system ultimately misses the point. What really matters is the mix of possible alternatives that today's evolving financial land…",https://www.project-syndicate.org/onpoint/currency-competition-dollar-is-supreme-but-digital-assets-complicate-picture-by-paolo-tasca-2024-03,https://webapi.project-syndicate.org/library/47804d35517e6cd567a6d0d7c8221a14.2-1-super.1.jpg,2024-03-29T09:24:02Z,"The question of whether the US dollar will be dethroned by a cryptocurrency, a stablecoin, or some other digital asset or payments system ultimately misses the point. What really matters is the mix o… [+13050 chars]",,Project Syndicate
48,coinjournal.net,to its Platform: A New Meme Coin on Solana,"Victoria, Seychelles, March 29th, 2024, Chainwire Bitget, a world leading cryptocurrency exchange and web3 company, is excited to announce the listing of NUB (NUB), the latest meme coin to join its array of offerings. NUB, a meme coin based on the Solana bloc…",https://biztoc.com/x/e4516598428091b8,https://c.biztoc.com/p/e4516598428091b8/s.webp,2024-03-29T12:12:09Z,"Victoria, Seychelles, March 29th, 2024, ChainwireBitget, a world leading cryptocurrency exchange and web3 company, is excited to announce the listing of NUB (NUB), the latest meme coin to join its ar… [+287 chars]",,Biztoc.com
49,"Cleve Mesidor, Contributor, 
 Cleve Mesidor, Contributor
 https://www.forbes.com/sites/clevemesidor/",Next Gen Women At Forefront Of Crypto Policy,"As Women’s HERstory Month comes to a close, diverse, female members of Generations Y and Z stand out for their work to advance Web3, DeFi regulatory policy in Washington.",https://www.forbes.com/sites/digital-assets/2024/03/29/next-gen-women-at-forefront-of-crypto-policy/,https://imageio.forbes.com/specials-images/imageserve/6606c39c5d1ed06a12b8d747/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-03-29T15:26:49Z,"UNITED STATES - JUNE 23: A female member of congress walks up the House steps for the first vote of ... [+] the day in the Capitol on Wednesday, June 23, 2021. (Photo by Bill Clark/CQ-Roll Call, Inc … [+1902 chars]",,Forbes
50,Hassan Maishera,Dogecoin rallies by 28% this week: Will other memecoins follow suit?,"Key takeaways Dogecoin is the best performer amongst the top 10 cryptocurrencies by market cap this week. Bitcoin Dogs prepares to carry out the biggest NFT mint on Bitcoin following its presale. DOGE tops $0.20 after this week’s rally DOGE, the native coin o…",https://coinjournal.net/news/dogecoin-rallies-by-28-this-week-will-other-memecoins-follow-suit/,https://coinjournal.net/wp-content/uploads/2023/07/1690278872522-632a3e80-c55b-4247-a34a-a60ef4e194a8.jpg,2024-03-30T11:07:00Z,"Key takeaways
<ul><li>Dogecoin is the best performer amongst the top 10 cryptocurrencies by market cap this week.
</li><li>Bitcoin Dogs prepares to carry out the biggest NFT mint on Bitcoin followi… [+3081 chars]",,Coinjournal.net
51,coinpedia.org,"Top Crypto News Weekly: ETFs, Blockchain Developments, Altcoin Surges, and Bitcoin Trends","The post Top Crypto News Weekly: ETFs, Blockchain Developments, Altcoin Surges, and Bitcoin Trends appeared first on Coinpedia Fintech News This analysis report, backed by quality data, covers the major developments the Web3, Blockchain and Crypto sector has …",https://biztoc.com/x/3ddb6b0d357ebd61,https://c.biztoc.com/p/3ddb6b0d357ebd61/s.webp,2024-03-31T03:58:06Z,"The post Top Crypto News Weekly: ETFs, Blockchain Developments, Altcoin Surges, and Bitcoin Trends appeared first on Coinpedia Fintech NewsThis analysis report, backed by quality data, covers the maj… [+319 chars]",,Biztoc.com
52,"Max (Chong) Li, Contributor, 
 Max (Chong) Li, Contributor
 https://www.forbes.com/sites/maxli/",How Crypto AI Projects Set Themselves Apart From Web2 AI Giants,"Web2 AI companies improve AI productivity, while Web3 AI companies transform AI production relationships.",https://www.forbes.com/sites/digital-assets/2024/03/31/how-crypto-ai-projects-set-themselves-apart-from-web2-ai-giants/,https://imageio.forbes.com/specials-images/imageserve/660967ed2c0a29752a38064f/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-03-31T13:58:16Z,"OpenAI CEO Sam Altman speaks during the OpenAI DevDay event on November 06, 2023 in San Francisco, ... [+] California.
Getty Images
A few days ago, an exciting piece of news emerged in the Web3/Cry… [+4936 chars]",,Forbes
53,Marvie Basilan,"Crypto-Related Exploits, Hacks, Scams Reach Over $79M In March : CertiK","CertiK said in its March 2024 report that the confirmed crypto-related exploits during the month resulted in over $52 million in losses, further highlighting the evolving ways through which threat actors leverage vulnerabilities in the cryptocurrency sector.",https://www.ibtimes.com/crypto-related-exploits-hacks-scams-reach-over-79m-march-certik-3728597,https://d.ibtimes.com/en/full/4488048/3.jpg,2024-04-01T07:39:53Z,"KEY POINTS
<ul><li>The total crypto-related hacks and scams in March reached $79 million</li><li>Flash loan attacks accounted for $21.9 million in losses in March</li><li>CertiK said last week that … [+2925 chars]",,International Business Times
54,Eric Lee,The Role of Community in Propelling Web3 Forward,"The inception of Bitcoin in 2009 by Satoshi Nakamoto heralded not just a new digital currency but a communal revolution within technology spaces. Early adopters, spanning tech aficionados to developers across the globe, congregated on digital platforms like B…",https://www.cryptocynews.com/the-role-of-community-in-propelling-web3-forward/,https://www.cryptocynews.com/wp-content/uploads/2023/04/cryptocy-2-1.png,2024-04-01T08:13:15Z,"The inception of Bitcoin in 2009 by Satoshi Nakamoto heralded not just a new digital currency but a communal revolution within technology spaces. Early adopters, spanning tech aficionados to develope… [+3974 chars]",,Cryptocynews.com
55,"Radhika Parashar, Siddharth Suvarna","Crypto Bull Run Spikes Number of Web3-Focussed Funds as Startups Swarm for Funding, Guidance","Startups looking to establish their names in the crypto sector are taking this bull phase seriously and are swarming towards accelerator programmes. While accelerator and investment programmes provide Web3 startups with funding, mentorship, and industry guida…",https://www.gadgets360.com/cryptocurrency/news/crypto-bull-run-web3-funds-startups-accelerator-investment-programmes-mentorship-5351961,https://i.gadgets360cdn.com/large/deal_pexels_Savvas_Stavrinos_large_1678953991251.jpg,2024-04-01T11:18:54Z,"The crypto market valuation, for the first time since 2021, is close to its last all-time high of $3 trillion thanks to Bitcoin, ETH, and other cryptocurrencies undergoing a bull run. Startups lookin… [+4746 chars]",,Gadgets360.com
56,Jake Simmons,"Bitcoin-Powered Core DAO (CORE) Skyrockets By 220%, Here’s Why","Core DAO (CORE), the cryptocurrency behind the Core blockchain, has seen its price skyrocket by 220% over the last week, marking a significant milestone in its market performance. As of the last 24 hours, CORE has seen an additional 63% increase, accumulating…",http://www.newsbtc.com/news/bitcoin-powered-core-dao-core-skyrockets-by-220/,https://www.newsbtc.com/wp-content/uploads/2024/04/DALL·E-2024-04-01-14.48.57-A-majestic-space-shuttle-embarks-on-a-journey-into-the-cosmos-its-main-engines-igniting-with-a-bright-fiery-glow-against-a-deep-twilight-sky.-Plumes.png,2024-04-01T12:51:19Z,"Core DAO (CORE), the cryptocurrency behind the Core blockchain, has seen its price skyrocket by 220% over the last week, marking a significant milestone in its market performance. As of the last 24 h… [+3329 chars]",,newsBTC
57,Chainwire,Panther's CTO Discusses Future of DeFi Privacy on Epicenter Podcast,Panther's CTO Discusses Future of DeFi Privacy on Epicenter Podcast,https://www.investing.com/news/cryptocurrency-news/panthers-cto-discusses-future-of-defi-privacy-on-epicenter-podcast-3360801,https://i-invdn-com.investing.com/news/Cryptocurrencies_800x533_L_1556527948.jpg,2024-04-02T04:00:45Z,"Gibraltor, Gibraltor, April 2nd, 2024, Chainwire
Anish Mohammed, Co-Founder, CTO, and Chief Scientist at Panther Protocol, recently joined Meher Roy on the Epicenter Podcast. They discussed Anish’s … [+6366 chars]",,Investing.com
58,,Cryptoverse: Ether fettered by fate of spot ETF proposals,"(marketscreener.com) Cryptocurrency ether is struggling
to keep pace with soaring big brother bitcoin.
 The no. 2 cryptocurrency, which commands less than a fifth
of the $2.7 trillion crypto market, has not done poorly. But
ether is up just around 53% in the …",https://www.marketscreener.com/quote/cryptocurrency/ETHEREUM-ETH-EUR-45554095/news/Cryptoverse-Ether-fettered-by-fate-of-spot-ETF-proposals-46333677/,https://www.marketscreener.com/images/reuters/2022-06/2022-06-30T060757Z_1_LYNXMPEI5T05D_RTROPTP_3_FINTECH-CRYPTOCURRENCY.JPG,2024-04-02T05:01:00Z,"April 2 (Reuters) - Cryptocurrency ether is struggling
to keep pace with soaring big brother bitcoin.
The no. 2 cryptocurrency, which commands less than a fifth
of the $2.7 trillion crypto market,… [+3675 chars]",,Marketscreener.com
59,,Cryptoverse: Ether fettered by fate of spot ETF proposals,"Cryptocurrency ether is struggling to keep pace with soaring big brother bitcoin.The no. 2 cryptocurrency, which commands less than a fifth of the $2.7 trillion crypto market, has not done poorly. But ether is up just around 53 per cent in the first three mon…",https://www.channelnewsasia.com/business/cryptoverse-ether-fettered-fate-spot-etf-proposals-4236206,"https://onecms-res.cloudinary.com/image/upload/s--MmtbfpKM--/fl_relative,g_south_east,l_one-cms:core:watermark:reuters,w_0.1/f_auto,q_auto/c_fill,g_auto,h_676,w_1200/v1/one-cms/core/2024-04-02t050645z_1_lynxnpek31050_rtroptp_3_fintech-cryptocurrency.jpg?itok=334WeLjW",2024-04-02T05:06:45Z,"Cryptocurrency ether is struggling to keep pace with soaring big brother bitcoin.
The no. 2 cryptocurrency, which commands less than a fifth of the $2.7 trillion crypto market, has not done poorly. … [+3502 chars]",,CNA
60,Reuters,Cryptoverse: Ether fettered by fate of spot ETF proposals,Cryptoverse: Ether fettered by fate of spot ETF proposals,https://www.investing.com/news/stock-market-news/cryptoverse-ether-fettered-by-fate-of-spot-etf-proposals-3360878,https://i-invdn-com.investing.com/news/LYNXNPEB7Q0U9_L.jpg,2024-04-02T05:10:40Z,"By Lisa Pauline Mattackal and Medha Singh
(Reuters) - Cryptocurrency ether is struggling to keep pace with soaring big brother bitcoin.
The no. 2 cryptocurrency, which commands less than a fifth of… [+3540 chars]",,Investing.com
61,Reuters,Cryptoverse: Ether fettered by fate of spot ETF proposals,"The no. 2 cryptocurrency, which commands less than a fifth of the $2.7 trillion crypto market, has not done poorly. But ether is up just around 53% in the first three months of this year, compared with bitcoin's 65%",https://economictimes.indiatimes.com/markets/cryptocurrency/cryptoverse-ether-fettered-by-fate-of-spot-etf-proposals/articleshow/108963107.cms,"https://img.etimg.com/thumb/msid-108963182,width-1200,height-630,imgsize-233070,overlay-etmarkets/photo.jpg",2024-04-02T05:17:45Z,"Cryptocurrency ether is struggling to keep pace with soaring big brother bitcoin.The no. 2 cryptocurrency, which commands less than a fifth of the $2.7 trillion crypto market, has not done poorly. Bu… [+3511 chars]",the-times-of-india,The Times of India
62,cryptonews.com,Ant Group’s ZAN Becomes Core Chain’s Validator to Fortify Blockchains’ Security in Asia-Pacific,"Ant Group’s Web3 security solutions provider ZAN has become a validator on Core Chain – EVM-compatible blockchain secured on Bitcoin. The strategic partnership with validators reinforces blockchains’ security and decentralization, Core Foundation told Crypton…",https://biztoc.com/x/737a6a4b084a0457,https://c.biztoc.com/p/737a6a4b084a0457/s.webp,2024-04-02T06:48:07Z,Ant Groups Web3 security solutions provider ZAN has become a validator on Core Chain EVM-compatible blockchain secured on Bitcoin.The strategic partnership with validators reinforces blockchains secu… [+297 chars],,Biztoc.com
63,"John Hyatt, Forbes Staff, 
 John Hyatt, Forbes Staff
 https://www.forbes.com/sites/johnhyatt/",The Richest Crypto And Bitcoin Billionaires In The World 2024,Meet the 17 investors and entrepreneurs who made ten-digit fortunes on the blockchain.,https://www.forbes.com/sites/johnhyatt/2024/04/02/the-richest-crypto-and-bitcoin-billionaires-in-the-world-2024/,"https://imageio.forbes.com/specials-images/imageserve/660b0af9f353936322abad16/0x0.jpg?format=jpg&crop=1920,1079,x0,y0,safe&height=900&width=1600&fit=bounds",2024-04-02T10:00:00Z,"Meet the 17 investors and entrepreneurs who made ten-digit fortunes on the blockchain.
The crypto winter is over. Bitcoin has more than doubled over the past 12 months, hitting an all-time high of $… [+12220 chars]",,Forbes
64,Chainwire,Avail Partners With dWallet Network To Introduce Native Bitcoin Rollups to Web3,"Dubai, United Arab Emirates, April 2nd, 2024, Chainwire Following the integration, users will be able to natively manage their BTC on any rollup in the Avail ecosystem without relinquishing control over their digital assets Avail, a modular blockchain solutio…",https://coinjournal.net/news/avail-partners-with-dwallet-network-to-introduce-native-bitcoin-rollups-to-web3/,https://coinjournal.net/wp-content/uploads/2024/04/Banner_-_Purple_1712003354JrlJM2Tvw8.jpeg,2024-04-02T13:13:27Z,"Dubai, United Arab Emirates, April 2nd, 2024, Chainwire
Following the integration, users will be able to natively manage their BTC on any rollup in the Avail ecosystem without relinquishing control … [+6122 chars]",,Coinjournal.net
65,coinjournal.net,Avail Partners With dWallet Network To Introduce Native Bitcoin Rollups to Web3,"Dubai, United Arab Emirates, April 2nd, 2024, Chainwire Following the integration, users will be able to natively manage their BTC on any rollup in the Avail ecosystem without relinquishing control over their digital assets Avail, a modular blockchain solutio…",https://biztoc.com/x/bceee0de79c291c9,https://c.biztoc.com/p/bceee0de79c291c9/s.webp,2024-04-02T13:16:11Z,"Dubai, United Arab Emirates, April 2nd, 2024, ChainwireFollowing the integration, users will be able to natively manage their BTC on any rollup in the Avail ecosystem without relinquishing control ov… [+298 chars]",,Biztoc.com
66,cryptopotato.com,Avail Partners With dWallet Network To Introduce Native Bitcoin Rollups to Web3,"[PRESS RELEASE – Dubai, United Arab Emirates, April 2nd, 2024] Following the integration, users will be able to natively manage their BTC on any rollup in the Avail ecosystem without relinquishing control over their digital assets Avail, a modular blockchain …",https://biztoc.com/x/e1f5635a3792b0c8,https://c.biztoc.com/p/e1f5635a3792b0c8/s.webp,2024-04-02T13:30:08Z,"[PRESS RELEASE Dubai, United Arab Emirates, April 2nd, 2024]Following the integration, users will be able to natively manage their BTC on any rollup in the Avail ecosystem without relinquishing contr… [+300 chars]",,Biztoc.com
67,Liam 'Akiba' Wright,Polygon spin-off Avail partners with dWallet to bring programmable Bitcoin to Web3 rollups,"Avail, a modular blockchain focused on unifying Web3 and optimizing data availability for scalable applications, has partnered with dWallet Network to introduce programmable native Bitcoin to rollups in the Avail ecosystem. Polygon co-founder Anurag Arjun spu…",https://cryptoslate.com/polygon-spin-off-avail-partners-with-dwallet-to-bring-programmable-bitcoin-to-web3-rollups/,https://cryptoslate.com/wp-content/uploads/2024/04/bitcoin-wallet.jpg,2024-04-02T13:30:13Z,"Avail, a modular blockchain focused on unifying Web3 and optimizing data availability for scalable applications, has partnered with dWallet Network to introduce programmable native Bitcoin to rollups… [+3929 chars]",,CryptoSlate
68,cryptoslate.com,Polygon spin-off Avail partners with dWallet to bring programmable Bitcoin to Web3 rollups,"Avail, a modular blockchain focused on unifying Web3 and optimizing data availability for scalable applications, has partnered with dWallet Network to introduce programmable native Bitcoin to rollups in the Avail ecosystem. Polygon co-founder Anurag Arjun spu…",https://biztoc.com/x/5961a8c1cf5cf36b,https://c.biztoc.com/p/5961a8c1cf5cf36b/s.webp,2024-04-02T13:44:06Z,"Avail, a modular blockchain focused on unifying Web3 and optimizing data availability for scalable applications, has partnered with dWallet Network to introduce programmable native Bitcoin to rollups… [+299 chars]",,Biztoc.com
69,Oluwapelumi Adejumo,CoinList’s spring 2024 batch shines a spotlight on next-gen crypto projects,"CoinList, a leading Web3 launchpad platform, has selected ten promising crypto projects for its 2024 spring batch Seed projects, according to an April 2 statement shared with CryptoSlate. The projects were selected from over 350 applicants vying for inclusion…",https://cryptoslate.com/coinlists-spring-2024-batch-shines-a-spotlight-on-next-gen-crypto-projects/,https://cryptoslate.com/wp-content/uploads/2024/04/seed-spring-.jpg,2024-04-02T15:00:06Z,"CoinList, a leading Web3 launchpad platform, has selected ten promising crypto projects for its 2024 spring batch Seed projects, according to an April 2 statement shared with CryptoSlate.
The projec… [+2621 chars]",,CryptoSlate
70,PR DESK,Avail Joins Forces With dWallet Network To Introduce Native Bitcoin Rollups to Web3,"With the integration, users can effortlessly manage their BTC on any rollup within the Avail ecosystem while maintaining full control over their digital assets. Avail has partnered with dWallet Network to introduce programmable native Bitcoin to rollups withi…",https://zycrypto.com/avail-joins-forces-with-dwallet-network-to-introduce-native-bitcoin-rollups-to-web3/,https://zycrypto.com/wp-content/uploads/2024/04/unnamed-98.jpg,2024-04-02T15:42:11Z,"With the integration, users can effortlessly manage their BTC on any rollup within the Avail ecosystem while maintaining full control over their digital assets.
Avail has partnered with dWallet Netw… [+5045 chars]",,ZyCrypto
71,AMBCrypto Team,"Bitcoin, Solana and other Altcoins face setbacks but Borroe Finance raises $3.5M in presale","As soon as investors thought that all pre-halving corrections and retraces were over, Bitcoin, Solana, […]",https://ambcrypto.com/bitcoin-solana-and-other-altcoins-face-setbacks-but-borroe-finance-raises-3-5m-in-presale/,https://ambcrypto.com/wp-content/uploads/2024/04/Borroe-Finance-raises-3.5M-1000x600.png,2024-04-02T17:15:48Z,"As soon as investors thought that all pre-halving corrections and retraces were over, Bitcoin, Solana, and other top altcoins entered another correction phase. Bitcoin lost 4% today, while Solana she… [+4404 chars]",,Ambcrypto.com
72,Reuters,Ether fettered by fate of spot ETF proposals,"The no. 2 cryptocurrency, which commands less than a fifth of the $2.7 trillion crypto market, has not done poorly. But ether is up just around 53% in the first three months of this year, compared with bitcoin's 65%.",https://economictimes.indiatimes.com/tech/technology/ether-fettered-by-fate-of-spot-etf-proposals/articleshow/108989713.cms,"https://img.etimg.com/thumb/msid-108989725,width-1200,height-630,imgsize-233070,overlay-ettech/photo.jpg",2024-04-03T02:50:32Z,"Cryptocurrency ether is struggling to keep pace with soaring big brother bitcoin.The no. 2 cryptocurrency, which commands less than a fifth of the $2.7 trillion crypto market, has not done poorly. Bu… [+3917 chars]",the-times-of-india,The Times of India
73,Aryze,Mercado Bitcoin Lists eUSD & eGBP Digital Cash stablecoins by ARYZE,Mercado Bitcoin Brazil announces listing of eUSD & eGBP Digital Cash full reserve stablecoins from leading  Danish fintech ARYZE ......,https://www.globenewswire.com/news-release/2024/04/03/2856646/0/en/Mercado-Bitcoin-Lists-eUSD-eGBP-Digital-Cash-stablecoins-by-ARYZE.html,https://ml-eu.globenewswire.com/Resource/Download/b099fe19-6a91-4757-8724-88340051617d,2024-04-03T07:30:00Z,"SÃO PAULO, Brazil and COPENHAGEN, Denmark, April 03, 2024 (GLOBE NEWSWIRE) -- Mercado Bitcoin (MB), the largest digital asset platform in Latin America, has expanded its listings of Digital Cash stab… [+2678 chars]",,GlobeNewswire
74,Marvie Basilan,Paradigm Reportedly In Talks To Raise Up To $850M For Crypto Venture Fund,"Paradigm, which invested $278 million into the collapsed FTX, is reportedly in talks to raise up to $850 million for a new crypto fund that could further propel the web3 ecosystem forward.",https://www.ibtimes.com/paradigm-reportedly-talks-raise-850m-crypto-venture-fund-3728785,https://d.ibtimes.com/en/full/4506204/1.jpg,2024-04-03T09:49:32Z,"KEY POINTS
<ul><li>It would be the largest crypto-focused fund yet since Andreessen Horowitz's $4.5 billion in 2022</li><li>Paradigm's largest funding drive was in November 2021 at $2.5 billion</li>… [+2735 chars]",,International Business Times
75,Marvie Basilan,FixedFloat Suffers Another Exploit By The Same Hackers; Tether Blacklists Hack-Linked Addresses,FixedFloat suffered another exploit by the same hackers that took $26 million in BTC and ETH from the exchange.,https://www.ibtimes.com/fixedfloat-suffers-another-exploit-same-hackers-tether-blacklists-hack-linked-addresses-3728791,https://d.ibtimes.com/en/full/4519999/crypto-hacking.jpg,2024-04-03T10:21:34Z,"KEY POINTS
<ul><li>Blockchain security firms first reported 'suspicious' activity on the exchange early Tuesday</li><li>FixedFloat said the hackers detected a 'vulnerability of a third party' whose … [+3979 chars]",,International Business Times
76,coinspeaker.com,Binance Inscription Marketplace Boosts Web3 Access with ARC-20 Token Support,"Coinspeaker Binance Inscription Marketplace Boosts Web3 Access with ARC-20 Token Support In the latest development on April 3, crypto exchange Binance announced that the Binance Inscription Marketplace will now start supporting the ARC-20 tokens. The ARC-20 i…",https://biztoc.com/x/acddd1659531d2a6,https://c.biztoc.com/p/acddd1659531d2a6/s.webp,2024-04-03T12:10:04Z,"CoinspeakerBinance Inscription Marketplace Boosts Web3 Access with ARC-20 Token SupportIn the latest development on April 3, crypto exchange Binance announced that the Binance Inscription Marketplace… [+316 chars]",,Biztoc.com
77,,FEDS Note: Tokenized Assets on Public Blockchains: How Transparent is the Blockchain?,"Cy Watsky, Matthew Liu, Nolan Ly, Kurtis Orr, Amber Seira, Zach Vida, Lawrence WuWith the proliferation of programmable blockchains with smart contract capabilities, new blockchain technology use cases have emerged that involve the tokenization of conventiona…",https://www.federalreserve.gov/econres/notes/feds-notes/tokenized-assets-on-public-blockchains-how-transparent-is-the-blockchain-20240403.html,https://www.federalreserve.gov/images/social-media/social-default-image-opengraph.jpg,2024-04-03T13:15:00Z,"April 03, 2024
Tokenized Assets on Public Blockchains: How Transparent is the Blockchain?
Cy Watsky, Matthew Liu, Nolan Ly, Kurtis Orr, Amber Seira, Zach Vida, Lawrence Wu1
Introduction
With the … [+24083 chars]",,Federalreserve.gov
78,"Zenger News, Contributor, 
 Zenger News, Contributor
 https://www.forbes.com/sites/zengernews/",‘The Halvening NYC’ – Bitcoin’s Return On NFT NYC’s Opening Night,"'The Halvening NYC' by Nolcha Shows debuts at NFT NYC 2024, celebrating Bitcoin's halving and Ordinals innovation in the areas of art, mining, and tech converge.",https://www.forbes.com/sites/zengernews/2024/04/03/the-halvening-nyc--bitcoins-return-on-nft-nycs-opening-night/,https://imageio.forbes.com/specials-images/imageserve/6606711f8fbf88a6fb06a64f/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-04-03T14:00:00Z,"By: Christos Makridis
As the web3 community gears up for NFT NYC 2024, Nolcha Shows is organizing The Halvening NYC, a nod to Bitcoins quadrennial halving of mining rewards slated to occur around Ap… [+6599 chars]",,Forbes
79,PYMNTS,Messaging Platform Telegram Pivots to Crypto Payments for Ads,"Throughout nearly their entire history, cryptocurrencies have represented the archetypal innovation in search of a problem. And while they’ve succeeded as an unregulated store of value, as well as a tool for scammers, digital assets have yet to crack the nut …",https://www.pymnts.com/cryptocurrency/2024/messaging-platform-telegram-pivots-to-crypto-payments-for-ads/,https://www.pymnts.com/wp-content/uploads/2021/02/telegram.jpg,2024-04-03T16:22:57Z,"Throughout nearly their entire history, cryptocurrencies have represented the archetypal innovation in search of a problem. And while theyve succeeded as an unregulated store of value, as well as a t… [+4291 chars]",,pymnts.com
80,AMBCrypto Team,Crypto analysts predict BlockDAG presale conclusion in 3 months amid XRP bull run,"Amidst the unpredictable waves of the cryptocurrency market, BlockDAG emerges as an innovation and promise, […]",https://ambcrypto.com/?p=381490,https://ambcrypto.com/wp-content/uploads/2024/04/Screenshot-2024-04-03-172007-2-1000x600.png,2024-04-03T17:05:33Z,"Amidst the unpredictable waves of the cryptocurrency market, BlockDAG emerges as an innovation and promise, distinguishing itself from the turbulence surrounding other coins like XRP and Polkadot. Th… [+4476 chars]",,Ambcrypto.com
81,Jose Antonio Lanz,Bitcoin-Backed Core Network Defies Flat Market With 218% Price Spike,"The CORE token of the Bitcoin-backed Core Network is on a bullish run this week, outperforming BTC itself and other major cryptocurrencies.",https://decrypt.co/224662/bitcoin-backed-core-network-218-percent-price-spike,https://cdn.decrypt.co/resize/1024/height/512/wp-content/uploads/2024/04/Firefly-20240403130016-gID_7.png,2024-04-03T17:28:54Z,"CORE, a rising token in the crypto space, has been defying the flat crypto markets with a remarkable spike of over 218% in just one week.
CORE is the token of Core Network, a Bitcoin-secured, Ethere… [+3440 chars]",,Decrypt
